test_id,version,original_key,recovered_key,noise_level,bit_precision,recovery_exact,annealing_start,annealing_steps
016,1.1,ec8311dc85da7fa6b935e40884879bda,ec8311dc85da7fa6b935e40884879bda,0.0,100.0,True,0.05,10
017,1.1,ec8311dc85da7fa6b935e40884879bda,ec8311dc85da7fa6b935e60884871bda,0.05,98.44,False,0.05,10
018,1.1,ec8311dc85da7fa6b935e40884879bda,ecc311dc95daffa4b837e40a84879bda,0.1,94.53,False,0.05,10
019,1.1,ec8311dc85da7fa6b935e40884879bda,ed8331dca59a6fa6b935e4098487bbd0,0.15,92.97,False,0.05,10
020,1.1,ec8311dc85da7fa6b935e40884879bda,ecc311dcc5da7ba6b935f44c87479bda,0.2,92.19,False,0.05,10
021,1.1,ec8311dc85da7fa6b935e40884879bda,eca301d4855a7fa4b935a406a4a797d8,0.25,89.06,False,0.05,10
022,1.1,ec8311dc85da7fa6b935e40884879bda,f20611dc85ca3fae9935f008c48f9b1a,0.3,86.72,False,0.05,10
023,1.1,ec8311dc85da7fa6b935e40884879bda,ec8591d8a5d83f66b831a608e5859fde,0.35,85.16,False,0.05,10
024,1.1,ec8311dc85da7fa6b935e40884879bda,ecc911d504caffa60b357c80a6a63bca,0.4,80.47,False,0.05,10
025,1.1,ec8311dc85da7fa6b935e40884879bda,6c8b85dc869eefe489714418848d9b42,0.45,80.47,False,0.05,10
026,1.1,ec8311dc85da7fa6b935e40884879bda,9b7cace30e2486d943c99b73be7a6127,0.5,22.66,False,0.05,10
027,1.1,ec8311dc85da7fa6b935e40884879bda,13fafe37baa180c444c83b5351706c23,0.55,21.88,False,0.05,10
028,1.1,ec8311dc85da7fa6b935e40884879bda,137ee2a37e20c0194cc007f77b38f635,0.6,16.41,False,0.05,10
029,1.1,ec8311dc85da7fa6b935e40884879bda,3370ea223c3dc05d66ca0cff7bfe6421,0.65,17.19,False,0.05,10
030,1.1,ec8311dc85da7fa6b935e40884879bda,537cee237605805186ca5a77726064f5,0.7,13.28,False,0.05,10
031,1.1,26302074e0f47de3aa440e69db8f5031,26302074e0f47de3aa440e69db8f5031,0.0,100.0,True,0.1,10
032,1.1,26302074e0f47de3aa440e69db8f5031,26302074e0f47de3aa440e69d38f5031,0.05,99.22,False,0.1,10
033,1.1,26302074e0f47de3aa440e69db8f5031,a6312074a8f47de3aa640e69db875030,0.1,94.53,False,0.1,10
034,1.1,26302074e0f47de3aa440e69db8f5031,26b02074e4b47de3aa440e295b8f5021,0.15,95.31,False,0.1,10
035,1.1,26302074e0f47de3aa440e69db8f5031,27302074e0f47d63aa60aee9fb8f1231,0.2,92.19,False,0.1,10
036,1.1,26302074e0f47de3aa440e69db8f5031,6e28a034e0e67de3a8840ee9db8f4033,0.25,89.06,False,0.1,10
037,1.1,26302074e0f47de3aa440e69db8f5031,34706474ccf46523aa4e0869db8f50b1,0.3,86.72,False,0.1,10
038,1.1,26302074e0f47de3aa440e69db8f5031,3631007460b46defaa410e6ad705c071,0.35,84.38,False,0.1,10
039,1.1,26302074e0f47de3aa440e69db8f5031,2490287ce038398178c11a29f9cf7475,0.4,75.78,False,0.1,10
040,1.1,26302074e0f47de3aa440e69db8f5031,2e752075e6f0b8e7a9666e6adb850031,0.45,80.47,False,0.1,10
041,1.1,26302074e0f47de3aa440e69db8f5031,9955feeb1b69b71c74b3e196ee13aff6,0.5,25.0,False,0.1,10
042,1.1,26302074e0f47de3aa440e69db8f5031,41c7dd815a89921855bff3966e7abf4f,0.55,18.75,False,0.1,10
043,1.1,26302074e0f47de3aa440e69db8f5031,d88fdf810feb6a64d5beb096202a89ca,0.6,23.44,False,0.1,10
044,1.1,26302074e0f47de3aa440e69db8f5031,88c7ff0b1e0a8214d7a3f186a472c7cc,0.65,15.62,False,0.1,10
045,1.1,26302074e0f47de3aa440e69db8f5031,d947ff8a1d47801c54bff1d6327b8dae,0.7,17.19,False,0.1,10
046,1.1,31d4c290dc9e9a5cf58936ab27d1d154,31d4c290dc9e9a5cf58936ab27d1d154,0.0,100.0,True,0.15,10
047,1.1,31d4c290dc9e9a5cf58936ab27d1d154,31d4c290dc9eda5cf58936ab27f1d154,0.05,98.44,False,0.15,10
048,1.1,31d4c290dc9e9a5cf58936ab27d1d154,31d4c290dc969a5ce58936eb26d1d154,0.1,96.88,False,0.15,10
049,1.1,31d4c290dc9e9a5cf58936ab27d1d154,31d4c290dc8e9a1c758936eb2791db54,0.15,94.53,False,0.15,10
050,1.1,31d4c290dc9e9a5cf58936ab27d1d154,39d4ca90dcde985df58d36ab27f1d154,0.2,94.53,False,0.15,10
051,1.1,31d4c290dc9e9a5cf58936ab27d1d154,b1d4d2c0dc1e9a5cf4c9b6ab26d19154,0.25,92.19,False,0.15,10
052,1.1,31d4c290dc9e9a5cf58936ab27d1d154,3194d0d27ede9adcff89572b234d5074,0.3,81.25,False,0.15,10
053,1.1,31d4c290dc9e9a5cf58936ab27d1d154,31dcd293dd9fbe1474ca37e323d1d158,0.35,83.59,False,0.15,10
054,1.1,31d4c290dc9e9a5cf58936ab27d1d154,b3d58310d4be1bdc2e8d36aa27f0d174,0.4,82.81,False,0.15,10
055,1.1,31d4c290dc9e9a5cf58936ab27d1d154,f534d200bccc9ad8f78836ab63d0c1dc,0.45,81.25,False,0.15,10
056,1.1,31d4c290dc9e9a5cf58936ab27d1d154,167b397d3f6173e39a0649d4802e3fa9,0.5,22.66,False,0.15,10
057,1.1,31d4c290dc9e9a5cf58936ab27d1d154,4a23b96b23c17da00a769954cc356e8b,0.55,17.19,False,0.15,10
058,1.1,31d4c290dc9e9a5cf58936ab27d1d154,643f3b6c2b3065a21a628d74d02a26ab,0.6,18.75,False,0.15,10
059,1.1,31d4c290dc9e9a5cf58936ab27d1d154,ff7bbd7f236377e31274c95488aebeeb,0.65,15.62,False,0.15,10
060,1.1,31d4c290dc9e9a5cf58936ab27d1d154,c61b196f036185abda72c976f02e2a8b,0.7,15.62,False,0.15,10
061,1.1,08964caf7e405fcf8115e31aa4ade6b4,08964caf7e405fcf8115e31aa4ade6b4,0.0,100.0,True,0.2,10
062,1.1,08964caf7e405fcf8115e31aa4ade6b4,08964cab7e401fcf8115e31aa4ace6f4,0.05,96.88,False,0.2,10
063,1.1,08964caf7e405fcf8115e31aa4ade6b4,08964cae7a405fcf8115e31aa4ade6b4,0.1,98.44,False,0.2,10
064,1.1,08964caf7e405fcf8115e31aa4ade6b4,08964caf7e405fcf8915e31aa4ade6b4,0.15,99.22,False,0.2,10
065,1.1,08964caf7e405fcf8115e31aa4ade6b4,089f4cad7a407fce8315c93aa4ade6b4,0.2,91.41,False,0.2,10
066,1.1,08964caf7e405fcf8115e31aa4ade6b4,08964caf32605dcf8795eb13a4afe6b4,0.25,90.62,False,0.2,10
067,1.1,08964caf7e405fcf8115e31aa4ade6b4,0c964ede3e455f9f8114eb92a4adc6a0,0.3,85.94,False,0.2,10
068,1.1,08964caf7e405fcf8115e31aa4ade6b4,08160aee9a405fcb9115b318a0a566b6,0.35,85.16,False,0.2,10
069,1.1,08964caf7e405fcf8115e31aa4ade6b4,28f64d2f7e407ecf851dc3ba2aa764b5,0.4,83.59,False,0.2,10
070,1.1,08964caf7e405fcf8115e31aa4ade6b4,a8e95aab36ca5fce4136e31aa5edeef4,0.45,78.12,False,0.2,10
071,1.1,08964caf7e405fcf8115e31aa4ade6b4,d7e9a314a1be25327eae15a77f13190b,0.5,17.19,False,0.2,10
072,1.1,08964caf7e405fcf8115e31aa4ade6b4,d529b57505b0a15066ef2fec5b161389,0.55,26.56,False,0.2,10
073,1.1,08964caf7e405fcf8115e31aa4ade6b4,c751b350b5bf25207e6a3ca57a96092b,0.6,17.97,False,0.2,10
074,1.1,08964caf7e405fcf8115e31aa4ade6b4,b569335483bfa030eeea17f5db161169,0.65,13.28,False,0.2,10
075,1.1,08964caf7e405fcf8115e31aa4ade6b4,c3f1f350c9bd01325aea14a55a52196a,0.7,16.41,False,0.2,10
076,1.1,683b5aa14a2b3bc562f1728210c34750,683b5aa14a2b3bc562f1728210c34750,0.0,100.0,True,0.25,10
077,1.1,683b5aa14a2b3bc562f1728210c34750,680b5aa14a2b3bc572f1728210c34750,0.05,97.66,False,0.25,10
078,1.1,683b5aa14a2b3bc562f1728210c34750,683b5aa55a2b3bc562b1728050c34750,0.1,96.09,False,0.25,10
079,1.1,683b5aa14a2b3bc562f1728210c34750,683b58a1480b3bc562f136e250c34750,0.15,93.75,False,0.25,10
080,1.1,683b5aa14a2b3bc562f1728210c34750,69334aad482b384562f150c310c74750,0.2,89.06,False,0.25,10
081,1.1,683b5aa14a2b3bc562f1728210c34750,283a7aa14aebbbc56ae172a792c147d0,0.25,88.28,False,0.25,10
082,1.1,683b5aa14a2b3bc562f1728210c34750,603b5aa54a2a1bc563f1b8823a92c350,0.3,86.72,False,0.25,10
083,1.1,683b5aa14a2b3bc562f1728210c34750,601b52b14a00bbc173f1721620e34552,0.35,84.38,False,0.25,10
084,1.1,683b5aa14a2b3bc562f1728210c34750,046b4ae7cc07b7c562c152a218c34758,0.4,80.47,False,0.25,10
085,1.1,683b5aa14a2b3bc562f1728210c34750,2b5b4a811a2259c94a314ba351c30701,0.45,75.0,False,0.25,10
086,1.1,683b5aa14a2b3bc562f1728210c34750,60334a91982b2bcd666162a11bc34454,0.5,81.25,False,0.25,10
087,1.1,683b5aa14a2b3bc562f1728210c34750,d6c525df85fc043add1ec75ffa7e88e7,0.55,21.88,False,0.25,10
088,1.1,683b5aa14a2b3bc562f1728210c34750,97c48552bd56c43a3c0e878d6f3c00ae,0.6,16.41,False,0.25,10
089,1.1,683b5aa14a2b3bc562f1728210c34750,d7d0a74fb1d6d53b9d468df16f38bc2d,0.65,16.41,False,0.25,10
090,1.1,683b5aa14a2b3bc562f1728210c34750,1794b15eb5d484220d0ec95dae3cb88b,0.7,13.28,False,0.25,10
091,1.1,606ca8f50e821b5be7d78fc4942f7502,606ca8f50e821b5be7d78fc4942f7502,0.0,100.0,True,0.3,10
092,1.1,606ca8f50e821b5be7d78fc4942f7502,606ca8f52e821b5fe7d78fc4942f7102,0.05,97.66,False,0.3,10
093,1.1,606ca8f50e821b5be7d78fc4942f7502,606ea8f50e82195be7df0fdc942f7402,0.1,94.53,False,0.3,10
094,1.1,606ca8f50e821b5be7d78fc4942f7502,646ce9f50e869f4fe7d78fc4942f7500,0.15,92.97,False,0.3,10
095,1.1,606ca8f50e821b5be7d78fc4942f7502,40eeacf58ea21bdbe7d38fc4942f3502,0.2,92.97,False,0.3,10
096,1.1,606ca8f50e821b5be7d78fc4942f7502,404ce8f5068a095be7d50f849527d142,0.25,87.5,False,0.3,10
097,1.1,606ca8f50e821b5be7d78fc4942f7502,406eaad596821bdae6578cc49c3b3512,0.3,85.94,False,0.3,10
098,1.1,606ca8f50e821b5be7d78fc4942f7502,70f2e8f706921953e7d79eec94ae740a,0.35,84.38,False,0.3,10
099,1.1,606ca8f50e821b5be7d78fc4942f7502,316ca8df8e821323a697afc4b5ff6e42,0.4,79.69,False,0.3,10
100,1.1,606ca8f50e821b5be7d78fc4942f7502,6a2cac150e02187965f7cfccb62535a3,0.45,80.47,False,0.3,10
101,1.1,606ca8f50e821b5be7d78fc4942f7502,0aee1726bd79608510a1600349d0989c,0.5,28.91,False,0.3,10
102,1.1,606ca8f50e821b5be7d78fc4942f7502,fd575d4af1ffd0ae90a8502b49f48a59,0.55,21.88,False,0.3,10
103,1.1,606ca8f50e821b5be7d78fc4942f7502,bfbbd20af17cec645a39359f6f980afd,0.6,18.75,False,0.3,10
104,1.1,606ca8f50e821b5be7d78fc4942f7502,9f9b4506e15d7fa418e85a2b6bd08af7,0.65,15.62,False,0.3,10
105,1.1,606ca8f50e821b5be7d78fc4942f7502,97135703e07df4ac1c6c103b6bc292ff,0.7,14.06,False,0.3,10
106,1.1,b9acf3d9ad286ef4625764fd05e4ff95,b9acf3d9ad286ef4625764fd05e4ff95,0.0,100.0,True,0.35,10
