annealing_start,repetitions,chunk_size,precision,exact_match
0.3,7,8,91.92722222222223,0.5555555555555556
0.3,1,4,91.58055555555556,0.5555555555555556
0.3,10,1,89.06333333333333,0.2777777777777778
0.3,7,32,89.06222222222222,0.7777777777777778
0.3,3,16,88.97555555555556,0.7777777777777778
0.3,2,32,88.36833333333334,0.2777777777777778
0.3,3,4,88.36777777777779,0.7777777777777778
0.3,1,1,88.19555555555556,0.2222222222222222
0.3,1,16,88.10777777777778,0.7222222222222222
0.3,10,4,87.89055555555555,0.5
0.3,1,32,87.67333333333333,0.7222222222222222
0.3,3,32,87.5,0.7222222222222222
0.3,10,8,86.97999999999999,0.2777777777777778
0.3,5,8,86.28444444444443,0.5555555555555556
0.3,1,8,86.11111111111111,0.7777777777777778
0.3,5,16,86.06777777777778,0.7222222222222222
0.3,3,8,85.98111111111112,0.5
0.3,5,1,85.76444444444445,0.6666666666666666
0.3,7,1,85.63388888888889,0.7222222222222222
0.3,10,32,85.24333333333334,0.6111111111111112
0.3,2,1,85.11388888888888,0.7222222222222222
0.3,2,16,85.11277777777778,0.5
0.3,7,16,83.985,0.3888888888888889
0.3,10,16,83.72333333333333,0.2222222222222222
0.3,5,4,83.24611111111112,0.6111111111111112
0.3,3,1,81.94444444444444,0.6666666666666666
0.3,5,32,81.81444444444445,0.3888888888888889
0.3,2,4,81.59777777777778,0.2222222222222222
0.3,2,8,81.59555555555556,0.6111111111111112
0.3,7,4,81.51111111111112,0.2222222222222222
